<b> パスからデータフレームを <a> 区切りで読み込んで、 <C> にする	<C> = pd . read_csv ( <b> , sep = <a> )	 pd . read_csv ( <b> , sep = <a> ) 
データフレーム <A> の列の名前を <b> から <c> に、 <d> から <e> にリネームする	<A> . rename ( columns = { <b> : <c> , <d> : <e> } )	 <A> . rename ( columns = { <b> : <c> , <d> : <e> } ) 
<A> の <b> ごとに <c> の個数をカウントする	<A> . groupby ( [ <b> ] ) [ <c> ] . count ( )	 <A> . groupby ( [ <b> ] ) [ <c> ] . count ( ) 
レンジを <b> から <a> として、 <C> のヒストグラムを描画する	plt . hist ( <C> , range = ( <b> , <a> ) )	 <E> . hist ( <C> , range = ( <b> , <a> ) ) 
表 <B> の <a> をグループ化して、値ごとのデータの数	<B> . groupby ( <a> ) . size ( )	 not <B> . groupby ( <a> ) . size ( ) 
表 <A> のデータの性質を確認する	<A> . info ( )	 <A> . info ( ) 
データフレーム <B> の <a> コラムについての標準偏差を表示する	<B> [ <a> ] . std ( )	 plt [ <B> [ <a> ] . std ( ) 
データフレーム <A> の <b> と表属性 <c> ごとに <d> の値の合計を計算する	<A> . groupby ( [ <b> , <c> ] ) [ <d> ] . sum ( )	 sns . pairplot ( <A> [ [ <b> , <c> , <d> ] ] ) 
データフレームを <a> からカンマ区切りで読み込む	pd . read_csv ( <a> , sep = ',' )	 pd . read_csv ( <a> , sep = ',' ) 
データフレーム <A> の列の名前を <b> から <c> に変更する	<A> . rename ( columns = { <b> : <c> } )	 plt . rename ( <A> [ <b> ] , <c> ] ) 
<a> ファイルから表データをタブ区切りで読み、 <B> とする	<B> = pd . read_csv ( <a> , sep = '\\\\t' )	 pd . read_csv ( <a> , sep = '\\\\t' ) 
表 <B> のコラム <a> をソートする	<B> . sort_values ( <a> )	 pd . read_csv ( <B> [ <a> ] ) 
ビンの名前をリスト <D> として、 <A> の <b> コラムを分割数を整数値 <C> として分割する	pd . cut ( <A> [ <b> ] , <C> , label = <D> )	 pd . cut ( <A> [ <b> ] , <C> , label = <D> ) 
表データ <B> の <a> 中の前後の行の差分を計算	<B> [ <a> ] . diff ( periods = 1 )	 <B> [ <a> ] . diff ( periods = 1 ) 
<A> の <b> カラムと <c> カラムと <d> についての箱ひげ図を描画する	plt . boxplot ( [ <A> [ <b> ] , <A> [ <c> ] , <A> [ <d> ] ] )	 plt . boxplot ( [ <A> [ <b> ] , <A> [ <c> ] , <A> [ <d> ] ] ) 
色を <C> として、 <A> と <B> のグラフを描写する	plt . plot ( <A> , <B> , color = ( <C> ) )	 from plt . plot ( <A> , <B> , color = ( <C> ) ) 
<B> の <a> を中央値で分割する	pd . qcut ( <B> [ <a> ] , 2 )	 pd . qcut ( <B> [ <a> ] , 2 ) 
データフレーム <C> の <b> をビン数を <A> として分割する	pd . cut ( <C> [ <b> ] , <A> )	 pd . cut ( <C> [ <b> ] , <A> ) 
<B> の <a> コラムを四分位数ごとでビン分割する	pd . qcut ( <B> [ <a> ] , 4 )	 pd . qcut ( <B> [ <a> ] , 4 ) 
データフレーム <A> の欠損がある行をドロップする	<A> . dropna ( )	 <B> . dropna ( ) 
カンマ区切りでデータフレームを <a> から読み込み、 <B> とする	<B> = pd . read_csv ( <a> , sep = ',' )	 pd . read_csv ( <a> , sep = ',' ) 
グラフのタイトルを <a> に変更する	plt . title ( <a> )	 plt . title ( <a> ) 
ビンの名前を 0 始まりの連番として、 <C> 表の <b> を分割数を <A> として分割する	pd . cut ( <C> [ <b> ] , <A> , label = False )	 pd . cut ( <C> [ <b> ] , <A> , label = False ) 
表を <b> ファイル名からカンマ区切りで読み込み、 <A> にする	<A> = pd . read_csv ( <b> , sep = ',' )	 pd . read_csv ( <A> , sep = <b> ) 
表データ <C> のカラム <b> と <a> を確認する	<C> [ [ <b> , <a> ] ]	 setattr <C> [ [ <b> , <a> ] ] 
ビンの名前をインデックスとして、表 <C> の <b> 表属性を分割数を <A> としてビン分割する	pd . cut ( <C> [ <b> ] , <A> , label = False )	 pd . cut ( <C> [ <b> ] , <A> , label = False ) 
表 <B> の <a> についての要約統計量を見る	<B> [ <a> ] . describe ( )	 <a> [ <B> [ <a> ] . describe ( ) 
表 <C> の <b> 表属性を分割数を整数値 <A> として要素数が等しくなるようにビン分割する	pd . qcut ( <C> [ <b> ] , <A> )	 pd . qcut ( <C> [ <b> ] , <A> ) 
凡例をグラフ内の最適な位置に付ける	plt . legend ( loc = 'best' )	 plt . legend ( loc = 'best' ) 
表データ <A> の <b> 表属性が <c> か <d> のデータを抽出する	<A> [ <A> [ <b> ] . isin ( [ <c> , <d> ] ) ]	 <A> [ <A> [ <b> ] . isin ( [ <c> , <d> ] ) ] 
表 <B> の <a> についてのヒストグラムを描く	plt . hist ( <B> [ <a> ] )	 <B> [ <a> ] . median ( ) 
表 <B> の <a> の出現回数	<B> [ <a> ] . value_counts ( )	 <D> [ <B> [ <a> ] . value_counts ( ) 
<C> の <b> カラムを境界値を <A> リストとして分割する	pd . cut ( <C> [ <b> ] , <A> )	 pd . cut ( <C> [ <b> ] , <A> ) 
表 <C> の列 <b> と列 <a> を消す	<C> . drop ( [ <b> , <a> ] , axis = 1 )	 <D> . drop ( <C> , [ <b> , <a> ] ] ) 
表データ <B> にある <a> を欠損値とする	<B> . replace ( <a> , np . nan )	 pd . merge ( <B> , <a> ) 
表データ <A> の <b> コラムが <c> より大きいデータを抽出する	<A> [ <A> [ <b> ] >  <c> ]	 <D> [ <A> [ <b> ] > <c> ] 
データフレーム <A> のコラム <b> についての箱ひげ図を描写する	plt . boxplot ( <A> [ <b> ] )	 int <A> [ <b> ] . boxplot ( <A> ) 
表 <C> の <b> 表属性をビン数を <A> 整数値として分割する	pd . cut ( <C> [ <b> ] , <A> )	 pd . cut ( <C> [ <b> ] , <A> ) 
表データ <D> の <c> と <b> とカラム <a> について関係性を一気に描く	sns . pairplot ( <D> [ [ <c> , <b> , <a> ] ] )	 plt . pairplot ( <D> [ [ <c> , <b> , <a> ] ] ) 
表データ <A> の <b> 列と <c> 列の相関係数	<A> [ [ <b> , <c> ] ] . corr ( )	 <A> [ [ <b> , <c> ] ] . corr ( ) 
<A> のコラム <b> が <c> より大きいデータを抽出する	<A> [ <A> [ <b> ] >  <c> ]	 <D> [ <A> [ <b> ] > <c> ] 
<c> 区切りで表データを <b> から読んで、 <A> とする	<A> = pd . read_csv ( <b> , sep = <c> )	 pd . read_csv ( <A> , sep = <b> , sep = <c> ) 
表データ <A> の <b> を NaN に置換し、 NaN が存在する行を消す	<A> . replace ( <b> , np . nan ) . dropna ( )	 <B> . replace ( <A> , np . nan ) . dropna ( ) 
<A> の <b> をソートする	<A> . sort_values ( <b> )	 sorted ( <A> , <b> ) 
表 <C> の <b> を境界値を <A> として分割する	pd . cut ( <C> [ <b> ] , <A> )	 pd . cut ( <C> [ <b> ] , <A> ) 
表 <A> の <b> 列と <c> と <d> 列について関係性を一度にプロットする	sns . pairplot ( <A> [ [ <b> , <c> , <d> ] ] )	 pairplot sns ( <A> [ [ <b> , <c> , <d> ] ] ) 
<B> 内の <a> を欠損に置換し、欠損がある行をドロップする	<B> . replace ( <a> , np . nan ) . dropna ( )	 <C> . replace ( <B> , np . nan ) . dropna ( ) 
表データ <A> の欠損値を <A> 表データの平均値で補う	<A> . fillna ( <A> . mean ( ) )	 <A> . fillna ( <A> . mean ( ) ) 
データフレーム <C> の <b> ごとにコラム <a> の平均を求める	<C> . groupby ( [ <b> ] ) [ <a> ] . mean ( )	 groupby <C> [ <b> ] . mean ( ) [ <a> ] . mean ( ) 
<A> の <b> についての平均値	<A> [ <b> ] . mean ( )	 list <A> [ <b> ] . mean ( ) 
データフレーム <B> のコラム <a> のユニークな要素数	<B> [ <a> ] . nunique ( )	 not <B> [ <a> ] . nunique ( ) 
データフレーム <A> の <b> と <c> コラムの相関係数	<A> [ [ <b> , <c> ] ] . corr ( )	 <A> [ [ <b> , <c> ] ] . corr ( ) 
表 <A> の形状	<A> . shape	 <A> . shape 
データフレーム <A> の <b> 列ごとに列 <c> の個数を数える	<A> . groupby ( [ <b> ] ) [ <c> ] . count ( )	 <A> . groupby ( [ <b> ] ) [ <c> ] . count ( ) 
ビンの名前を整数値として、データフレーム <A> の <b> をビン数を <C> として分割する	pd . cut ( <A> [ <b> ] , <C> , label = False )	 pd . cut ( <A> [ <b> ] , <C> , label = False ) 
インデックスと <a> をキーとしてデータフレーム <C> と <B> データフレームをマージする	pd . merge ( <C> , <B> , left_index = True , right_on = <a> )	 pd . merge ( <C> , <B> , left_index = True , right_on = <a> ) 
<A> の <b> 列と <c> ごとに <d> の値の合計を算出する	<A> . groupby ( [ <b> , <c> ] ) [ <d> ] . sum ( )	 sns . pairplot ( <A> [ [ <b> , <c> , <d> ] ] ) 
データフレーム <A> の <b> 列のバリュー	<A> [ <b> ] . values	 <D> [ <A> [ <b> ] . values 
表 <B> の下 <a> 行を表示する	<B> . tail ( <a> )	 <B> . tail ( <a> ) 
データフレーム <B> の欠損値を <A> に置き換える	<B> . fillna ( <A> )	 fillna <B> . fillna ( <A> ) 
データフレーム <D> の <c> と <b> ごとに <a> の値の合計を計算する	<D> . groupby ( [ <c> , <b> ] ) [ <a> ] . sum ( )	 <B> . groupby ( [ <a> ] ) [ <c> ] . sum ( ) 
データフレーム <A> の <b> を境界値を <C> リストとして分割する	pd . cut ( <A> [ <b> ] , <C> )	 pd . cut ( <A> [ <b> ] , <C> ) 
インデックスと <c> をキーとしてデータフレーム <A> と <B> を一つにまとめる	pd . merge ( <A> , <B> , left_index = True , right_on = <c> )	 pd . merge ( <A> , <B> , left_index = True , right_on = <c> ) 
<A> の <b> 列と <c> と <d> について関係性を一気に描写する	sns . pairplot ( <A> [ [ <b> , <c> , <d> ] ] )	 sns . pairplot ( <A> [ [ <b> , <c> , <d> ] ] ) 
<B> にある <a> を欠損値に置換する	<B> . replace ( <a> , np . nan )	 int ( <B> , <a> ) 
グラフを描画する	plt . show ( )	 plt . show ( ) 
<A> の欠損を <A> 表の平均値で補う	<A> . fillna ( <A> . mean ( ) )	 <A> . fillna ( <A> . mean ( ) ) 
ビンの名前を 0 始まりの連番として、 <C> のカラム <b> をビン数を整数値 <A> として分割する	pd . cut ( <C> [ <b> ] , <A> , label = False )	 pd . cut ( <C> [ <b> ] , <A> , label = False ) 
表 <A> の <b> を削除する	<A> . drop ( [ <b> ] )	 delattr ( <A> , <b> ) 
表データ <A> の末尾 <b> 行	<A> . tail ( <b> )	 not <A> . tail ( <b> ) 
データフレーム <A> の <b> 表属性を中央値で分割する	pd . qcut ( <A> [ <b> ] , 2 )	 pd . qcut ( <A> [ <b> ] , 2 ) 
データフレーム <B> の <a> を日付に変換する	pd . to_datetime ( <B> [ <a> ] , format = '%Y-%m-%d' )	 pd . to_datetime ( <B> [ <a> ] , format = '%Y-%m-%d' ) 
表データ <A> 内の欠損値を直前の行の値で補う	<A> . fillna ( method = 'ffill' )	 not <A> . fillna ( method = 'ffill' ) 
<a> という軸ラベルを y 軸に付ける	plt . ylabel ( <a> )	 plt . ylabel ( <a> ) 
Matplotlib ライブラリをインポートする	from matplotlib import pyplot as plt	 matplotlib import seaborn as plt 
表データ <A> の欠損を <A> の平均値で埋める	<A> . fillna ( <A> . mean ( ) )	 <B> . fillna ( <A> . mean ( ) ) 
<B> の <a> の前後の行の差分を算出	<B> [ <a> ] . diff ( periods = 1 )	 <B> [ <a> ] . diff ( periods = 1 ) 
ビンのラベルを <D> として、 <A> の <b> をビン数を <C> として分割する	pd . cut ( <A> [ <b> ] , <C> , label = <D> )	 pd . cut ( <A> [ <b> ] , <C> , label = <D> ) 
<a> から表データをカンマ区切りで読む	pd . read_csv ( <a> , sep = ',' )	 pd . read_csv ( <a> , sep = ',' ) 
<A> の <b> をビン数を <C> として要素数が等しくなるようにビン分割する	pd . qcut ( <A> [ <b> ] , <C> )	 pd . qcut ( <A> [ <b> ] , <C> ) 
表データ <D> の <c> が <b> もしくは <a> のデータを抽出する	<D> [ <D> [ <c> ] . isin ( [ <b> , <a> ] ) ]	 [ <D> [ <c> ] . isin ( [ <b> , <a> ] ) ] 
表データを <b> から <a> 区切りで読み込み、 <C> とする	<C> = pd . read_csv ( <b> , sep = <a> )	 pd . read_csv ( <b> , sep = <a> ) 
データフレーム <A> の <b> とコラム <c> を消す	<A> . drop ( [ <b> , <c> ] , axis = 1 )	 sns . drop ( <A> [ [ <b> , <c> ] ] ) 
表データ <A> 内の <b> を欠損値に置換し、欠損値がある行を落とす	<A> . replace ( <b> , np . nan ) . dropna ( )	 <B> . replace ( <A> , np . nan ) . dropna ( ) 
